This profile was last updated,Status,User ID,Name of Firm,"Trade Name (""Doing Business As ..."")",DUNS Number,Parent DUNS Number,"Address, line 1","Address, line 2",City,State,Zip,Phone Number,Fax Number,E-mail Address,WWW Page,E-Commerce Website,Contact Person,County Code (3 digit),Congressional District,Metropolitan Statistical Area,CAGE Code,Year Established,Accepts Government Credit Card?,GSA Advantage Contract(s)
02/20/2021,Active,P1182490,Astronumatic Ltd.,ny pump and motor,796804755,,144 CENTRE ST,,BROOKLYN,NY,11231-3202,718-768-8700,718-499-7028,pumpmotorrepair@gmail.com,http://www.nypump.com,,joe greenwald,047,07,5600,5VWG8,1990,[  ] Yes [X] No,
05/01/2021,Active,P2610109,Mattbeth Artisan Foods LLC,,079426386,,8718 Union Tpke,,Glendale,NY,11385-7851,718-809-3804,,mattbethfoods@gmail.com,,,Angel Lopez,081,06,5600,906A6,2014,[X] Yes [  ] No,
09/22/2020,Active,PN100568,Armand Corporation,Armand Of New York,556761823,556761823,1350 Broadway Ste 1901,,NEW YORK,NY,10018-0891,212-542-4179 x14        ,646-596-7093,barmand@armandcorp.com,http://www.armandcorp.com,,Barbara KUSHNER,061,12,5600,0UEZ9,1991,[  ] Yes [X] No,GS-10F-0440X
03/27/2021,Active,P0378121,"Wei, Wei & Co LLP",,096482112,096482112,13310 39th Ave,,Flushing,NY,11354-4400,718-445-6308 x117       ,718-445-6309,liren@weiweico.com,,,LIREN WEI,081,06,5600,1DXV7,1995,[X] Yes [  ] No,
10/06/2020,Active,P1495616,"Bartholomew Company, Inc., The",,068025154,,307 W JOHN ST,,HICKSVILLE,NY,11801-1024,516-513-1295,516-513-1294,hheras@bartcranes.net,http://www.bartcranes.net,,Helene  Heras,059,03,5380,60400,1969,[X] Yes [  ] No,
09/25/2020,Active,P2506958,ABADI CONSTRUCTION OF NY INC.,,046011483,,4343 KISSENA BLVD APT 202,,FLUSHING,NY,11355-2953,646-739-3283,,abadiconstructioninc@gmail.com,,,MEHERBAN MASHRAQUI,081,06,5600,8QRC6,2000,[X] Yes [  ] No,
11/21/2020,Active,P2419807,"ZMETROPOLIS, LLC",,117166386,,440 E 79th St Apt 15D,,New York,NY,10075-1459,646-881-0333,,zeeba@zmetropolis.com,,,Zeeba Rasheed,061,12,,8FSY2,2017,[  ] Yes [X] No,
09/03/2020,Active,P2394864,East Coast Environmental Restoration Inc.,,047813463,,136 Allen Blvd,,Farmingdale,NY,11735-5659,631-600-2000,,erincon@ecerestoration.com,http://www.ecerestoration.com,,Edwin Rincon,059,02,5380,8E4E2,2005,[X] Yes [  ] No,
08/11/2020,Active,P0519220,Utech Products Inc. ,,607404563,607404563,135 Broadway St ,,Schenectady,NY,12305-2501,518-831-8000 x8011      ,518-489-3772,punamadan@utechproducts.com,https://www.utechproducts.com,,PUNAM MADAN,093,20,0160,1CNM2,1990,[X] Yes [  ] No,
12/23/2020,Active,P2569094,"Traders International, Inc.",Traders International-Africa,079536127,,8 Sherman Pl,,Ossining,NY,10562-3620,914-907-0633,914-432-5021,kofib@tradersii.com,,,Kofi A Boateng,119,17,5600,8TLJ4,2011,[  ] Yes [X] No,
09/09/2020,Active,P2403853,"Lazarus Industries, LLC",,080859050,,382 High St,,Buffalo,NY,14204-1107,716-908-6359,716-800-3915,frank@lazarusindustries.com,WWW.LAZARUSINDUSTRIES.COM,https://lazarusindustries.com,Francis  Lazarus,029,26,1280,8DYF8,2012,[  ] Yes [X] No,
06/09/2020,Active,P1063175,"M & J Engineering, P.C.",,619804599,619804599,2003 Jericho Turnpike,,New Hyde Park,NY,11040-4739,516-821-7300 x305       ,516-233-1041,AMALIK@MJENGINEERS.COM,HTTP://WWW.MJENGINEERS.COM,,ASAD MALIK,059,04,5380,5EDF2,2004,[X] Yes [  ] No,
04/27/2021,Active,P0712259,"DONNELLY & MOORE, INC.",,015230613,015230613,70 HAVERMILL RD STE 101,,NEW CITY,NY,10956-3141,845-304-8344,845-708-0111,eileeng@donmor.com,https://www.donmor.com,http://www.donmor.com,EILEEN  GUZZO,087,17,5600,47RJ7,1997,[  ] Yes [X] No,
04/09/2021,Active,P2244492,Genesis Environmental Consultant Inc,,967308552,,3353 VERNON BLVD # 1,,ASTORIA,NY,11106-4928,718-932-8505,718-932-8470,admin@genesiseci.com,,http://www.genesiseci.com,Raul Javier,081,12,5600,7XXJ7,1988,[X] Yes [  ] No,
08/20/2020,Active,P2478384,"Solve Innovation Group, Inc",,080787842,,81 Prospect St,,Brooklyn,NY,11201-1473,818-239-6325,,awilliams@solvegrp.com,www.solvegrp.com,,Aniesia Williams,047,07,5600,8NRU7,2017,[X] Yes [  ] No,
06/15/2020,Active,P0929138,"B.N.O. INTERNATIONAL TRADING COMPANY, INC.",,024745205,,505 CHAUTAUQUA AVE,,JAMESTOWN,NY,14701-7615,716-487-1900,716-488-2525,bno@bnointl.com,,http://.bnointltrade.com,Benjamin Okwumabua,013,23,3610,4YU31,1998,[X] Yes [  ] No,
05/06/2021,Active,P2612261,D & A DEALS LLC,,007985413,,2803 W 20TH ST,,BROOKLYN,NY,11224-2515,917-644-1514,,dnadealsco@gmail.com,,,Aron Leviev,047,08,5600,906X6,2018,[X] Yes [  ] No,
07/23/2020,Active,P1974464,"Gonzalez, Christina M",,079523603,,2975 AVENUE W APT 6B,,BROOKLYN,NY,11229-5333,347-356-2322,,christinamarie.gonzalez@gmail.com,,,Christina M Gonzalez,047,09,5600,77E93,2014,[  ] Yes [X] No,
03/11/2021,Active,P2591724,FAULKNER'S FAMILY FARM L.L.C.,Agriculture,130197790,,645 VAN HOESEN RD,,CASTLETON ON HUDSON,NY,12033-1544,518-330-2075,,rho_rho@hotmail.com,,,Rhoda Faulkner,083,20,0160,8W9H1,2020,[X] Yes [  ] No,
06/01/2021,Active,P2480060,VL ARCHITECT PLLC,,097815066,,1115 Broadway Fl 12,,New York,NY,10010-1629,917-686-0256,,HAEINBROOKLYN@AOL.COM,,,HAEIN VIEIRA LISBOA,061,12,5600,8NN59,2008,[  ] Yes [X] No,
08/21/2020,Active,P2491598,EXD 14 LLC,,077599055,,310 LENOX RD APT 6U,,BROOKLYN,NY,11226-2232,347-920-0355,,exd14llc@yahoo.com,,,Peter Panton,047,09,5600,8PFE4,2020,[  ] Yes [X] No,
03/24/2021,Active,P2595317,"ALL BILLING AND CODING SERVICES, LLC",,114486833,,3547 GREAT NECK RD APT 34,,AMITYVILLE,NY,11701-1900,347-691-4313,,abccodingservices@gmail.com,www.abccodingservices.com,https://www.abccodingservices.com,andrel jones,103,02,5380,8WR60,2019,[X] Yes [  ] No,
11/10/2020,Active,P2558442,"LINK ON OUTSIDE SERVICES, INC.",,095519242,,433 E 115th St Apt 5c,,New York,NY,10029-1774,212-860-5377,917-477-2117,Leonor@linkonoutsideservices.com,www.linkonoutsideservices.com,https://www.linkonoutsideservices.com,Leonor Troyano,061,13,5600,44XH3,2007,[X] Yes [  ] No,
10/30/2020,Active,P2351310,"Edu Music, Inc.",,004354417,,920 RIVERSIDE DR APT 7,,NEW YORK,NY,10032-5464,917-863-3437,,vilmayel@edumusicinc.com,www.edumusicinc.com,,Vilma Yel,061,13,5600,881N5,2005,[  ] Yes [X] No,
05/11/2021,Active,P2366451,Philosophy of Health LLC,,116837641,,276 5TH AVE STE 704,,NEW YORK,NY,10001-4527,833-272-7336,833-272-7336,sales@thephilosophyofhealth.com,www.thephilosophyofhealth.com,https://www.thephilosophyofhealth.com,Monica Shahani,061,12,5600,89NZ1,2017,[X] Yes [  ] No,
05/29/2021,Active,P2608909,"WOODY WOODS WORKIN MUSIC, LLC",,795614283,,228 Hancock St Apt 1,,BROOKLYN,NY,11216-2126,917-749-7374,,woody@woodywoodsworkinmusic.com,woodywoodsworkinmusic.com,,REGINALD R WOODS,047,08,5600,91F55,2006,[X] Yes [  ] No,
04/16/2021,Active,P2604463,Jules Security LLC,,128033525,,293 Cenacle Rd,,Ronkonkoma,NY,11779-2201,631-512-5192,,karen@jules-security.com,,,Karen Freed,103,01,5380,8ZBL3,2020,[X] Yes [  ] No,
02/10/2021,Active,P2581318,"Automated Water Machines, Inc.",,117862090,,688 BROADWAY APT 4B,,New York,NY,10012-1638,847-644-5767,,manuela.zoninsein@gmail.com,,,Manuela S Zoninsein,061,10,5600,8V9A0,2020,[  ] Yes [X] No,
08/12/2020,Active,P1886592,"KHEOPS Architecture, Engineering and Survey DPC ",,079233527,,300 Pearl St Ste 100 ,,Buffalo,NY,14202-2501,716-849-8739 x2197      ,,jsawyer@kheopsdpc.com,www.kheopsdpc.com,,Jill J Sawyer,029,26,1280,71NR2,2013,[  ] Yes [X] No,
04/30/2021,Active,P2609702,"INSTATIX, LLC",,101177100,,22832 114TH DR,,CAMBRIA HEIGHTS,NY,11411-1308,516-462-3547,,westxsw@outlook.com,,,Solomon West,081,05,5600,903L8,2021,[X] Yes [  ] No,
08/11/2020,Active,P1832136,"ACHARYA, MOUGONDHA",PS Business Solutions,829305213,,39 Van Siclen Ave,,Floral Park,NY,11001-2012,516-305-4385,,mrya@mypsbusiness.com,,,Mougondha  Acharya,059,04,5380,755K3,2010,[  ] Yes [X] No,
08/11/2020,Active,P1690932,"Bhuiyan, Ziaur",Dynamic Construction Company,837437370,,1149 E 34th St Ste B,,Brooklyn,NY,11210-4121,718-758-1240,718-758-2767,DCC11234@YAHOO.COM,,,ZIAUR BHUIYAN,047,09,5600,6THN6,2008,[  ] Yes [X] No,
10/30/2020,Active,P1805490,Freeport Medical Supply Inc.,Xtra Care Pharmacy,784808904,,75 S Main St,,Freeport,NY,11520-3841,516-208-7432,516-208-8096,CHUCKMADU@FREEPORTMEDICAL.COM,WWW.FREEPORTMEDICAL.COM,http://www.freeportmedical.com,CHUKWUMA MADU,059,04,5380,71B11,2006,[X] Yes [  ] No,
04/01/2021,Active,P2469341,"WE-DESIGNS, LLC",,115616652,,231 BOWERY APT 2,,NEW YORK,NY,10002-1237,646-580-8238,,w@we-designs.com,we-designs.com,http://we-designs.com,Wendy W FOK,061,07,5600,8LVJ9,2010,[X] Yes [  ] No,
04/03/2021,Active,P2599037,"ADDITION GROUP, LLC",,117959972,,40 W 135TH ST APT 5S,,NEW YORK,NY,10037-2508,929-366-4369,,F.Christine@additiongroup.net,,,Francoise CHRISTINE,061,13,5600,8YCQ1,2020,[X] Yes [  ] No,
10/03/2020,Active,P2511934,Goodwin & Grimes Private Investigations LLC,G & G Security Group,117586386,,135 Arcadia Ave,,Uniondale,NY,11553-1307,347-351-3691,,CGOOD753@GMAIL.COM,WWW.GOODWINANDGRIMESPI.COM,,CHRISTOPHER GOODWIN,059,04,5380,8R6J9,2018,[X] Yes [  ] No,
10/30/2020,Active,P2553755,"GV Art Conservation, LLC",,060014207,,45 E 89TH ST APT 4D,,NEW YORK,NY,10128-1227,917-297-9451,,steve@gvartconservation.com,www.gvartconservation.com,,Steven Ludmer,061,12,5600,8RRD0,2007,[  ] Yes [X] No,
09/15/2020,Active,P2147949,NCA Plumbing & Heating LLC,,826047677,,95 Ralph Ave,,Brooklyn,NY,11221-4075,347-435-0521,718-363-8851,nadams@ncaplumbingandheating.com,www.ncaplumbingandheating.com,https://ncaplumbingandheating.com,Neville Adams,047,08,5600,7QW07,2007,[X] Yes [  ] No,
07/27/2020,Active,P1534265,FALCON - RATTLER ENTERPRISES,FALCON - RATTLER MEDIA,968349717,,529 W145TH ST UNIT 3W,,NEW YORK,NY,10031-5104,646-305-4192,555-555-5555,shawnelle@falconrattlermedia.com,,,SHAWNELLE  KING,061,13,5600,6EAU5,2011,[  ] Yes [X] No,
07/31/2020,Active,P2485450,"ES Controls,LLC",,969074553,,104-18 110th Street,,South Richmond Hill,NY,11419-2412,718-909-5673,,pmalik@wbny.com,www.escontrolsllc.com,,Amarnauth Appana,081,05,5600,8LZU7,2010,[  ] Yes [X] No,
09/20/2020,Active,P1904969,"Robinson, William ",BILLION BILLS PROCESS SERVING ,191458095,,22919 MERRICK BLVD ,,SPRINGFIELD GARDENS,NY,11413-2108,718-527-2121,,BillionBillPS@aol.com,,http://www.bbprocessserving.com,William T Robinson,081,05,5600,7ADJ2,2002,[  ] Yes [X] No,
10/02/2020,Active,P2492492,AABGM Inc.,,080935049,,3831 215TH PL,,BAYSIDE,NY,11361-2311,646-256-4262,,sultana@aabgm.com,www.aabgm.com,http://www.aabgm.com,JAHIDA SULTANA,081,06,5600,8NZ15,2012,[X] Yes [  ] No,
07/07/2020,Active,P2115312,ELITE IMMIGRATION CONSULTING SERVICES CORPORATION,,080281358,,105 Worthington Rd,,White Plains,NY,10607-2314,914-751-1433,866-286-7108,jes22765@hotmail.com,,,Vivian Pena,119,17,5600,7NP05,2012,[X] Yes [  ] No,
05/28/2021,Active,P1095027,"CSA Group NY Architects and Engineers, P.C.",,791940500,161655068,55 Exchange Plz 14 Fl,,New York,NY,10006-3002,908-872-4211,,rmmorillo@csagroup.com,,,Ricardo Morillo,061,10,5600,5JFA5,2001,[  ] Yes [X] No,
07/19/2020,Active,P2335151,CREATE TODAY LLC,,011992258,,14 BURSLEY PLACE,,WHITE PLAINS,NY,10605-1103,914-269-8599,,kate@createtoday.net,,https://createtoday.net/,Katherine S Ingram,119,17,5600,865U7,2017,[  ] Yes [X] No,
08/14/2020,Active,P1994817,Kalaty Rug Corp.,,097510002,097510002,156 Duffy Ave,,Hicksville,NY,11801-3640,516-827-1047,,fanny@kalaty.com,kalaty.com,,FANNY LAO,059,03,5380,7HDU6,1979,[X] Yes [  ] No,
07/16/2020,Active,P2482183,Tipsy Media LLC,,068351155,,7 Alan Rd,,Fishkill,NY,12524-1436,845-243-5476 x700       ,866-358-6789,andrewm@getwithtipsy.com,https://getwithtipsy.com,,Andrew J Mendez-Spera,027,18,2281,8N1M8,2016,[X] Yes [  ] No,
09/25/2020,Active,P2507102,"SAENTIS BUSINESS ENTERPRISES, INC",,117508857,,123 W 93RD ST APT 10D,,NEW YORK,NY,10025-7584,917-686-8807,,htan@saentisbusiness.com,,,Huey Kein Tan,061,10,5600,8QE58,2020,[  ] Yes [X] No,
05/29/2021,Active,P2467813,AMH Home Services LLC,,117520803,,8 Plaza Rd,,Wappingers Falls,NY,12590-3814,845-392-7596,,amhhomeservices@gmail.com,amhhomeservices.com,,Kristal Lopez,027,18,2281,8PHV4,2017,[X] Yes [  ] No,
02/12/2021,Active,P1136793,"GC Eng Engineering Associates, P.C.",GC Eng & Associates,007505782,,141 W 28th St Ste 800,,New York,NY,10001-6115,212-695-5313 x228       ,212-695-5170,geng@gceng.com,http://www.gceng.com,http://www.gceng.com,Gene Eng,061,12,5600,5PW76,1997,[  ] Yes [X] No,
12/03/2020,Active,P1536916,Gena Christian & Associates LLC,,055061474,,404 Oak St Ste 261,,Syracuse,NY,13203-2976,315-640-5007,,ggcchrist@gmail.com,www.genachristian.com,,Gena C Christian,067,24,8160,6F3H9,2009,[X] Yes [  ] No,
12/29/2020,Active,P2411288,Brooklyn River Express Corporation,,014114759,,6049 75th Ave,,Glendale,NY,11385-6168,917-937-1752,,bkriverexpress@gmail.com,bkriverexpress.com,,Vanessa Easter-Acevedo,081,07,5600,8EX25,2018,[  ] Yes [X] No,
05/29/2021,Active,P2217474,Atlantic First Industries Corporation,,080678236,,42 Gerard Ave,,New Hyde Park,NY,11040-1910,516-305-4580,,john@atlanticfirstindustries.com,https://atlanticfirstindustries.com,https://atlanticfirstindustries.com,Lap  Chu,059,04,5380,7W9Y9,2017,[  ] Yes [X] No,
08/14/2020,Active,P2473081,"DIAMOND HEAD CONSTRUCTION, INC.",,114461971,,52 SHIRLEY CT,,COMMACK,NY,11725-4124,631-543-3500,,irene@diamondheadconstruction.com,,,Irene Seosankar,103,01,5380,8M9S1,2019,[  ] Yes [X] No,
08/31/2020,Active,P2283507,Twins Contracting LLC,,081022520,,175 Huguenot St Ste 200,,New Rochelle,NY,10801-7711,914-363-8030,914-409-9069,yvette@twinscontracting.com,www.twinscontracting.com,,Yvette Palermo,119,16,5600,825N8,2015,[  ] Yes [X] No,
12/29/2020,Active,P2569909,HSG US LLC,HS Games,080859110,,80 Spencer St Apt 4l,,Brooklyn,NY,11205-2849,347-486-1856,,hutchstuff80@gmail.com,,,Tuly Wosner,047,07,5600,8TPZ9,2018,[X] Yes [  ] No,
04/17/2021,Active,P2498556,"Edgeworthbox, Inc.",,094933289,,215 W 88th St Apt 5CD,,New York,NY,10024-2324,917-414-2921,,chand.sooran@edgeworthbox.com,https://www.edgeworthbox.com,,Chand Sooran,061,10,5600,8PXX8,2017,[  ] Yes [X] No,
12/02/2020,Active,P2563771,MEDICAL CARD NEW YORK INC.,,068184848,,52 ATLANTIC AVE,,BLUE POINT,NY,11715-1415,631-500-5250,,jeremy@medcardnewyork.com,,,Jeremy Radino,103,01,5380,8SZN6,2020,[X] Yes [  ] No,
08/21/2020,Active,P2472250,Families Are Rarely Exposed Inc.,,117533967,,185 Beechwood Ave,,Roosevelt,NY,11575-1615,718-810-7477,,antwonsevents@gmail.com,,,Javon Williams,059,04,5380,8M9U3,2020,[X] Yes [  ] No,
09/21/2020,Active,P2460865,MCC SOLUTIONS LLC,,117360691,,2103 46th Ave Apt 3B,,LONG ISLAND CITY,NY,11101-4757,718-598-5992,,mccveteran1@gmail.com,,http://www.mccveteran.com,Michael Hall,081,12,5600,8L7V6,2018,[X] Yes [  ] No,
10/30/2020,Active,P2552229,PANHA SOLUTIONS INC.,,024250676,,1659 Central Ave Ste 103,,Albany,NY,12205-4039,518-878-7457,,hr@panhasinc.com,,,kishore jammula,001,20,0160,8S0Z6,2010,[X] Yes [  ] No,
05/11/2021,Active,P2006180,MENOTTI ENTERPRISE LLC,,056022514,,1816 TRAFALGAR PL,,BRONX,NY,10460-4725,646-494-5383,,steven@menottienterprise.com,www.menottienterprise.com,http://www.menottienterprise.com,Steven Menotti,005,15,5600,7JPC6,2012,[  ] Yes [X] No,
09/09/2020,Active,P1521254,ANSEN CORPORATION,,112118398,116949821,100 CHIMNEY POINT DR,,OGDENSBURG,NY,13669-2206,315-393-3573 x282       ,315-393-8450,bcoon@ansencorp.com,,,BRENDA Coon,089,21,,6DA47,2002,[  ] Yes [X] No,
04/12/2021,Active,P1048842,BLOOM CONSTRUCTION INC,,837577258,,26920 UNION TPKE,,NEW HYDE PARK,NY,11040-1535,917-939-6624,718-831-1944,BLOOMINC@MSN.COM,,,DARSHAN  SINGH,059,03,5380,5C2E1,2006,[  ] Yes [X] No,
05/25/2021,Active,P2619079,"LambdaNY, Inc.",,116943821,,1555 Beach Ave Ste 1,,Bronx,NY,10460-6348,347-898-4898,,info@lambdany.com,,,Richard Solomon,005,15,5600,918H9,2018,[  ] Yes [X] No,
07/09/2020,Active,P2404064,USA Veterans Corporation,,117080161,,361 Kosciuszko St,,Brooklyn,NY,11221-0650,516-351-5558,,rglover0658@gmail.com,,https://usaveteranscorp.com,Randel J Glover,047,08,5600,8DZM1,2018,[  ] Yes [X] No,
12/22/2020,Active,P2423625,Kool Kidz Television & Publishing LLC,FulleeLoaded Productions,117352046,,17528 Grand Central Pkwy,,Jamaica,NY,11432-1306,718-751-5813,,koolkidzpub@gmail.com,,,Richard W McKeown,081,05,5600,8G2R3,2005,[  ] Yes [X] No,
03/19/2021,Active,P2245572,AUTHENTIC HEART,,012701473,,1598 MIRIAM COURT,,ELMONT,NY,11003-4401,516-418-4137,,Authenticheartwork@gmail.com,www.AuthenticHeartWork.com,,Celicia Cargill,059,05,5380,7Y0N8,2014,[X] Yes [  ] No,
10/30/2020,Active,P1644471,"BUILDING GREAT BLOCKS, W.E.B., LLC",,078325195,,2960 Baily Ave,,BUFFALO,NY,14215-2827,716-204-8025,,Buildinggreatblocks@yahoo.com,buildinggreatblocks@yahoo.com,,ELLA QUINN QUINN,029,26,1280,6Q9V0,2012,[X] Yes [  ] No,
08/13/2020,Active,P1889802,Kadock Consulting Services LLC ,,079493191,,"280 Route 211 East, Ste 7 ",,Middletown,NY,10940-3100,845-401-6713,845-522-8480,odock@kadockconsultingservices.com,www.kadockconsultingservices.com,,Dr. VINCENT N ODOCK,071,18,5660,78GL4,2014,[X] Yes [  ] No,
07/23/2020,Active,P0622580,EPITAXIAL LABORATORY INC,,877211664,877211664,25 TIANA PL,,DIX HILLS,NY,11746-5215,516-508-0060,,jpeli23@gmail.com,,,Jie Piao,103,03,5380,09BK3,1994,[  ] Yes [X] No,
01/27/2021,Active,P2580407,Sinclair Master Of Ceremonies Inc,,117821387,,172 Roquette Ave,,Elmont,NY,11003-1210,516-603-5667,,sinclair516@gmail.com,,,Jessica sinclair,059,05,5380,8UN16,2018,[  ] Yes [X] No,
04/14/2021,Active,P1476193,Zoria Housing LLC,,801882395,,87-28 130th St,,Richmond Hill,NY,11418-2701,917-559-8137,718-322-1885,zoriahousingllc@gmail.com,,,LAKHI  ZORIA,081,05,5600,694A7,2004,[  ] Yes [X] No,
08/26/2020,Active,P0263411,"3D STUDIOS, INC.",,113223643,113223643,75 S BWY STE 400,,WHITE PLAINS,NY,10601-4413,212-491-7318,,monica@3dstudios.net,https://3dstudios.net,,MONICA Jones,119,17,5600,3BQ01,1997,[X] Yes [  ] No,
08/11/2020,Active,P0457641,"Hazlow Electronics, Inc. ",,053650982,,49 Saint Bridgets Dr ,,Rochester,NY,14605-1838,585-507-7687,585-325-4308,ALMA@HAZLOW.COM,http://www.hazlow.com,,ALMA  CRAIN,055,25,6840,23318,1971,[  ] Yes [X] No,
09/24/2020,Active,P2398136,"Mapp, Roxanne",Roxanne Mapp Designs,089127876,,220 Pelham Rd Apt 3K,,New Rochelle,NY,10805-2521,914-417-8179,,roxannemappdesigns@gmail.com,http://www.roxannemapp.com,,Roxanne C Mapp,119,16,5600,8D9M7,2014,[  ] Yes [X] No,
05/21/2021,Active,P2600333,Poydras & Lasalle Consultants LLC,,117973908,,3410 De Reimer Ave Apt 15A,,Bronx,NY,10475-1536,347-449-4849,,dwashington@poydrasandlasalle.com,,,Danny Washington,005,16,5600,912B1,2021,[X] Yes [  ] No,
03/05/2021,Active,P2225106,"Apex Therapeutic Services, LLC",,052190503,,1010 Northern Blvd Ste 424,,Great Neck,NY,11021-5330,516-472-7002 x1007      ,,fmawere@apexcare.net,,,Felestasia Mawere,059,03,5380,7YYG5,2002,[  ] Yes [X] No,
10/01/2020,Active,P2509659,"Patient Advocates Of NY, LLC",,116837569,,1925 7th Ave Apt 1B,,New York,NY,10026-2205,914-719-7593,,patientadvocatesofny@protonmail.com,,https://www.patientadvocatesofny.com,Jangir Sultan,061,13,5600,8QZG3,2018,[  ] Yes [X] No,
04/29/2021,Active,P2610071,HEALTH SYSTEMS QUALITY LLC,,009487504,,500 E 85TH ST APT 8A,,NEW YORK,NY,10028-7408,315-396-4725,,sheree@healthsystemsquality.org,,,Sheree Murphy,061,12,5600,901L6,2021,[  ] Yes [X] No,
09/17/2020,Active,P2504341,MNJ WORKS INC,,036855429,,133 CLERMONT AVENUE,,HEMPSTEAD,NY,11550-5831,516-850-5376,,m.m@mnjworks.net,,,Myrna McGeary,059,04,5380,8QH02,2016,[X] Yes [  ] No,
06/19/2020,Active,P0952988,"ZOPID, INC.",,623566663,,7 COLGATE LN,,WOODBURY,NY,11797-2207,917-301-4514,877-468-4488,tmchaudhry@zopid.com,http://www.zopid.com,http://www.amazon.com/b/103-2060360-5371800?ie=UTF8&me=AGFRQR9LXFP58,TALAT Chaudhry,059,03,5380,51GZ8,2005,[X] Yes [  ] No,
08/25/2020,Active,P2492528,NEW BEGINNING CLEANERS LLC,,124597649,,309 GOLD ST APT 35F,,BROOKLYN,NY,11201-1272,917-742-1656,,info@newbeginningcleaners.com,,https://www.newbeginningcleaners.com,Yannick  Jules-Bannister,047,07,5600,8PKH5,2020,[X] Yes [  ] No,
10/16/2020,Active,P2153464,M. RAHMAN CONSTRUCTION CORP.,,843436572,,1876 Schenectady Ave Ste 2,,BROOKLYN,NY,11234-2006,718-438-3110,,msiyful@yahoo.com,,,Mohammed Siyful,047,08,5600,7RK59,2007,[  ] Yes [X] No,
05/21/2021,Active,P2615791,VOSX Group LLC,,117615064,,616 Beach 66th St,,Arverne,NY,11692-1342,917-287-8426,,jdhuell@ymail.com,,,Jermaine Huell,081,05,5600,912C5,2020,[X] Yes [  ] No,
03/19/2021,Active,P2587547,ACE ACADEMIC TUTORING LLC,Ace Academic Learning,064445058,,21944 JAMAICA AVE,,QUEENS VILLAGE,NY,11428-2127,516-884-9274,,Yumi.Aschkar@AceAcademicK12.com,www.AceAcademicK12.com,,Yumi Aschkar,081,05,5600,8WKT1,2009,[X] Yes [  ] No,
12/21/2020,Active,P2567560,UNITED A2Z INC,,047010498,,1034 NEILL AVE BSMT,,BRONX,NY,10461-1318,917-740-6764,,UNITEDA2ZINC@GMAIL.COM,,,Bahatur Singh,005,14,5600,8TH89,2020,[  ] Yes [X] No,
02/25/2021,Active,P2198515,Ravidas Construction Inc.,,078259574,,31-16 60th St Ste 1,,Woodside,NY,11377-1221,917-406-3146,,ravidas.construction@gmail.com,,,jaswinder singh,081,14,5600,7U9J6,1993,[  ] Yes [X] No,
11/16/2020,Active,P2196850,"Precision Concrete Pumping, Inc.",,095045337,,90 INDUSTRIAL PARK RD,,ALBANY,NY,12206-2048,518-435-9292,,rich@precisionconcretepump.com,,,Richard Saxton,001,20,0160,7UFR9,1987,[X] Yes [  ] No,
01/08/2021,Active,P2404566,"Solvuu, Inc.",,117075241,,200 E 87TH ST APT 10J,,NEW YORK,NY,10128-3131,520-344-0139,,aa1@solvuu.com,,,Ashish Agarwal,061,12,5600,8ECN2,2017,[  ] Yes [X] No,
09/13/2020,Active,P2500697,G.I.O GOVERNMENT ISSUE ORGANIZERS L.L.C.,,117648448,,350 Lenox Rd Apt 1k,,Brooklyn,NY,11226-2283,347-276-8808,,rollexmentore@gmail.com,,,Rollex  Mentore,047,09,5600,8Q4Z2,2020,[X] Yes [  ] No,
07/01/2020,Active,P2225623,"MDS Construction Management, LLC",,080734442,,1652 Park Ave Ste 4H,,New York,NY,10035-4661,646-260-5488,,mdiao@mdsgroups.com,www.mdsgroups.com,,Mor Diao,061,13,5600,7W4H0,2016,[  ] Yes [X] No,
07/29/2020,Active,P2390657,"Business Corner Solutions, Inc.",,117019667,,13766 Southgate St,,Springfield Gardens,NY,11413-2627,929-430-8616,,ANDREWLUCAS@CORNERZ.NET,www.cornerz.net,,ANDREW B LUCAS,081,05,5600,89W85,2016,[X] Yes [  ] No,
08/16/2020,Active,P2491978,WRB HOUSE WORKS LLC,,099805870,,2543 OCEANSIDE ROAD,,OCEANSIDE,NY,11572-1507,347-608-1401,,Leslieszucs@aol.com,,,Leslie Szucs,059,04,5380,8P8J6,2018,[  ] Yes [X] No,
11/05/2020,Active,P2556189,FLAT RATE DUCT SERVICES INC,,089657195,,230 HUNGRY HARBOR RD,,VALLEY STREAM,NY,11581-2848,212-933-9303,,flatrateairductcleaning@gmail.com,,,Assaf Barzilay,059,04,5380,8SBP3,2017,[X] Yes [  ] No,
05/11/2021,Active,P0820446,CORNELL'S AUTOPSY SERVICE,,152812710,,15 GREENBURGH COMMONS WAY,,WHITE PLAINS,NY,10603-2616,914-953-4819,914-831-1140,autopsy2010@gmail.com,,,CORNELIUS  CORNELL,119,17,5600,4LCB9,1996,[  ] Yes [X] No,
12/29/2020,Active,P2418496,"CEE SUITE LLC, THE",,083350935,,81 FLEET PLACE APT 3B,,BROOKLYN,NY,11201-8001,917-804-4176,,cindy@lifeintheceesuite.com,https://www.lifeintheceesuite.com,https://lifeintheceesuite.com,Cindy Joseph,047,07,5600,8HAB5,2017,[X] Yes [  ] No,
